Date,ALA.TO,BDGI.TO,GEI.TO,MATR.TO,MTL.TO,PSI.TO,PD.TO,SES.TO
2017-05-18,-0.013476002,-0.044906316,-0.00162807,-0.008649699,-0.00136278,0.028060022,-0.007889617,-0.001999611
2017-05-19,0.025805726,0.018919594,0.019898273,0.041285193,0.043355194,0.027293857,0.048318577,0.028615078
2017-05-23,-0.004061914,-0.010316435,0.006369602,-0.010552633,-0.015126858,-0.020038805,0.001884986,0.002914207
2017-05-24,-0.00391508,0.040208851,-0.003179604,-0.020489323,-0.000663594,-0.01407467,0,-0.002914207
2017-05-25,-0.005901964,-0.003036311,-0.019834693,-0.034340831,-0.024841595,-0.030267606,-0.052185695,-0.071567143
2017-05-26,-0.000657728,0.01251907,-0.003796915,-0.029094143,0.016183788,-0.00353261,0.00790513,0.004172049
2017-05-29,-0.001646501,0.003131437,-0.00654317,0.018490938,-0.008751209,-0.000505576,-0.00790513,-0.009409915
2017-05-30,-0.006945726,-0.004292561,-0.015991694,0.0033257,-0.007464803,-0.015804588,-0.030213778,-0.044011832
2017-05-31,-0.000664083,0.004292561,-0.00389842,0.019398868,0.01554547,0.002053328,0.002042871,0.002197795
2017-06-01,-0.000996831,0.013610802,0.004454224,0.00552034,0.007350351,-0.002053328,0.016194666,0.013086699
2017-06-02,-0.002663165,0.004216316,-0.01005027,-0.007802309,0.001331095,-0.002057553,-0.040989345,-0.03304294
2017-06-05,-0.008704317,0.005453987,-0.000561508,-0.012810157,0.003319149,0.003597912,0.002089917,0.003353819
2017-06-06,0.008037646,-0.004613376,0.01780795,0.015417696,0.005287218,0.001025545,0,0.036168462
2017-06-07,-0.010057143,0.008372001,-0.021182126,-0.04255957,0.015696853,-0.004623457,-0.073626347,-0.036168462
2017-06-08,0.001683376,0.008302305,0.005057665,-0.002380566,-0.018337418,0.004110882,0.01560792,0.004454333
2017-06-09,0.010372787,-0.007052124,0.010593935,-0.002727481,0.01508766,-0.006688891,0.047525151,0.020891418
2017-06-12,0.006305305,0.002494228,-0.006678244,-0.003762741,-0.003260354,0.006175921,0.014659886,-0.00874333
2017-06-13,0.004290677,0.016475091,0.006123191,0.004786369,0.02260331,0.020999678,0.010341354,0.013086699
2017-06-14,-0.010262894,0.000816656,-0.014533586,-0.035054818,0.005730543,-0.040336691,-0.063715816,-0.057987447
2017-06-15,-0.002332107,-0.007374399,-0.008481909,-0.020339621,-0.008288379,-0.010076912,-0.022173858,-0.037431272
2017-06-16,0.012265936,-0.007428483,0.006791361,0.006467845,-0.010295865,-0.010718349,-0.004494322,0.009489653
2017-06-19,0.007876733,0.007428483,-0.007927648,-0.013340745,-0.0077926,-0.009201397,0.002249686,-0.002364059
2017-06-20,-0.015483689,0.011041374,-0.013738023,-0.003636334,0.003903891,0.00054349,-0.015855395,-0.03125243
2017-06-21,-0.005659943,0.016535552,-0.012761059,-0.007312664,-0.007822546,-0.020313607,-0.030129719,-0.017241585
2017-06-22,-0.006232906,0.004788541,0.001166598,0.009495799,0.000654043,0.008284819,0.023256862,0.001241617
2017-06-23,0.014427581,0.03135044,0.010441227,0.017655067,0.020071878,0.02445145,0.018223716,0.049616457
2017-06-26,-0.007691314,-0.006968244,-0.02276157,-0.059977387,-0.007076362,0.003750292,-0.002259843,0.003535642
2017-06-27,-0.009782567,-0.005063168,0.003535601,0.001894456,0.004508937,0.010109216,-0.006810457,-0.011834265
2017-06-28,0.010118178,0.019858197,0.002994988,0.003023232,0.013432118,0.019397703,-0.00228056,0.02370581
2017-06-29,-0.008424389,0.005733027,-0.007805388,-0.001510648,0.002537524,0.00466204,-0.039586089,0.023042055
2017-06-30,0.004389414,0.014377929,0.010194734,0.000755653,0.013845458,-0.000517263,0.050936949,0.007941009
2017-07-04,-0.000674195,-0.034005553,0.005355773,-0.011011971,0.002497275,-0.001034337,-0.0090703,0.011236215
2017-07-05,-0.004053816,0.011592074,-0.005355773,-0.001911021,0,-0.008316371,-0.075686237,-0.020317126
2017-07-06,-0.007134638,0.006509816,0.011272736,-0.023220777,-0.005626768,-0.008911831,0,-0.008013451
2017-07-07,-0.001023072,0.004569765,0.00058983,0.008576792,-0.003139917,-0.005279941,-0.024876904,-0.012724304
2017-07-10,0,0.007946937,-0.011862566,-0.003889417,0.015600818,-0.007972724,0.012515808,0.009270026
2017-07-11,0.002385967,-0.011753543,-0.005384334,0.02082626,-0.013088369,0.004791366,-0.040614783,-0.005783925
2017-07-12,0.008476193,-0.003055744,0.007768168,0.021895727,-0.00692491,0.003710465,0.005167983,0.013825425
2017-07-13,-0.008476193,0.007621988,-0.002980521,-0.009379086,-0.006337471,-0.025724906,0.005141425,-0.009195728
2017-07-14,0.00712515,-0.011071034,0.009506891,-0.001131512,-0.004459823,0.002710641,-0.039220713,-0.003469679
2017-07-17,-0.002708599,0.004978107,-0.014894448,0.014609605,-0.011560818,-0.018028459,-0.008032145,-0.021078622
2017-07-18,-0.00441655,-0.013846673,-0.003005604,0.004822947,-0.010389493,-0.008303164,-0.005390876,0.018757969
2017-07-19,0.009825559,0.007331434,0.000601621,0.05051587,0.007802464,0.002221002,0.11958324,0.019552192
2017-07-20,-0.000674358,-0.003080238,-0.014545692,0.008409142,-0.013037748,-0.002221002,-0.041621699,-0.004566132
2017-07-21,-0.006640389,0.00231148,-0.003056872,-0.006651542,0.011741719,0.004437012,-0.046043912,-0.020810116
2017-07-24,-0.00273654,0.008047522,-0.00799264,-0.007757455,0,-0.00889387,-0.021164797,0.006984691
2017-07-25,-0.001028192,-0.008047522,0.012879536,0.014060102,0.038172629,0.023179842,0.041890902,0.033089434
2017-07-26,-0.002747369,0.013376924,-0.011029768,0.019700062,0.006222424,0.005983469,-0.023347403,0.032029228
2017-07-27,-0.006555182,0.008440846,-0.014897642,0.004779832,0.004341069,-0.005983469,0.010443999,0.008658036
2017-07-28,-0.006249845,0.001129725,0.003121963,-0.032540141,-0.011201137,0.001635333,-0.02099812,-0.005306196
2017-07-31,0.010739894,-0.003016278,0.011775679,-0.017033694,-0.001252171,-0.008752703,-0.040600975,0.022545312
2017-08-01,-0.001379886,0.002640298,0.005530091,-0.005742963,-0.008178587,0.002743292,0.024557783,-0.035660238
2017-08-02,0.00722058,-0.003395908,0.056000371,-0.00252308,0.011931001,-0.004393083,-0.008119111,-0.023373146
2017-08-03,-0.011369815,0,-0.031188113,-0.03041086,-0.02209002,-0.016089137,-0.005449619,-0.036701558
